Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
9577,28.0,29.55644224882302,0.0,0.0,0.0,0.0,1.0,4.752625825768737,5.0,15.210050801569677,12.0,56.539766302299284,10.0,151.90642564180465,0.0,0.0
9661,35.0,49.29438607363173,0.0,0.0,0.0,0.0,2.0,11.538017768547364,13.0,52.723364561787726,10.0,66.61781360335753,10.0,217.77003484320556,0.0,0.0
9662,28.0,52.40893946767491,0.0,0.0,0.0,0.0,2.0,15.295197308045275,4.0,23.839322963227843,11.0,91.74311926605505,11.0,253.80710659898477,0.0,0.0
9663,24.0,18.759672956368128,3.0,55.77244841048522,0.0,0.0,6.0,13.669294208775687,3.0,7.9751176329850875,4.0,16.88048615800135,8.0,87.80594885303479,,
9671,41.0,23.536165327210103,1.0,12.310722639418934,0.0,0.0,5.0,13.584741618214421,5.0,7.9199138313375155,19.0,48.59210761873098,11.0,93.14140558848433,0.0,0.0
9672,29.0,28.091248123214026,0.0,0.0,0.0,0.0,1.0,4.750368153531899,6.0,16.88048615800135,12.0,47.479623328321594,10.0,119.13271384322135,0.0,0.0
9673,32.0,40.18333647265649,0.0,0.0,0.0,0.0,1.0,5.853772756541591,10.0,36.063327202567706,9.0,49.02227790184651,12.0,207.07506471095772,,
9674,11.0,13.035646568069776,0.0,0.0,0.0,0.0,1.0,5.483959418700302,3.0,9.923260121725324,3.0,15.617679212868968,4.0,74.51564828614009,,
9675,15.0,16.45548790521639,0.0,0.0,0.0,0.0,1.0,4.852249017419574,3.0,9.198785760279643,6.0,30.54989816700611,5.0,82.8500414250207,0.0,0.0
9676,29.0,22.525496531850276,2.0,33.9097999321804,1.0,8.719916288803628,3.0,10.785547366528851,10.0,21.561017680034496,9.0,31.551270815074496,4.0,46.20538292711101,0.0,0.0
9677,10.0,7.926568271532522,1.0,18.034265103697024,0.0,0.0,2.0,7.661367554108408,1.0,2.235386162959651,4.0,13.340448239060832,2.0,21.25624402168137,,
9678,30.0,25.986400450430942,0.0,0.0,0.0,0.0,3.0,11.936022917164001,2.0,4.936321453253035,13.0,49.55590287043037,12.0,150.39478631407445,0.0,0.0
9679,26.0,16.01951916797082,0.0,0.0,0.0,0.0,2.0,5.710206995003569,7.0,12.17687784851964,10.0,27.098802232941303,7.0,67.67862322343613,0.0,0.0
